iter	Logloss
0	0.6888493186
1	0.6837292873
2	0.6791783238
3	0.6745778547
4	0.6686445477
5	0.6626024999
6	0.6574503958
7	0.6546293024
8	0.6499877948
9	0.6453625874
10	0.6414452604
11	0.638161698
12	0.6330721708
13	0.6290039402
14	0.6261400551
15	0.6215605268
16	0.6189259334
17	0.6153683173
18	0.6129483007
19	0.6084946038
20	0.604357295
21	0.601780037
22	0.5989748187
23	0.5959750015
24	0.5941764823
25	0.5911091753
26	0.5892486395
27	0.586459872
28	0.5844350355
29	0.5809867562
30	0.5780125031
31	0.575661241
32	0.573363598
33	0.5686043579
34	0.5654375886
35	0.5629502495
36	0.5598278452
37	0.5563982756
38	0.5531184523
39	0.5512981912
40	0.5483389798
41	0.5454600392
42	0.5438840316
43	0.5403679866
44	0.536795875
45	0.5342365572
46	0.5320259783
47	0.5281685264
48	0.5249651878
49	0.5227204877
50	0.5215910271
51	0.5195055325
52	0.5179364263
53	0.5143423681
54	0.5128587093
55	0.5099486822
56	0.5075808555
57	0.5056165452
58	0.5036841339
59	0.5023586602
60	0.4992446417
61	0.4963762963
62	0.493770412
63	0.4916466369
64	0.4896139144
65	0.4873781463
66	0.485168639
67	0.4826851168
68	0.4815817041
69	0.4796830778
70	0.47803465
71	0.4762692447
72	0.4735778883
73	0.4705593952
74	0.4688063067
75	0.4671873546
76	0.4655669086
77	0.4637171055
78	0.4611706348
79	0.4599549273
80	0.4573607932
81	0.4545644843
82	0.4529905405
83	0.4508561992
84	0.4491210276
85	0.4462973236
86	0.4451945157
87	0.4434310502
88	0.4422444175
89	0.4409849498
90	0.4391801723
91	0.4370021952
92	0.435564489
93	0.4340851399
94	0.4325105368
95	0.4305384437
96	0.4290555955
97	0.4276683235
98	0.42501401
99	0.4228066725
100	0.4202115216
101	0.4178243336
102	0.415862596
103	0.4141053465
104	0.4128886604
105	0.4102603338
106	0.4079592559
107	0.4061785909
108	0.4035924499
109	0.4024457197
110	0.4007526164
111	0.3995587458
112	0.3969794233
113	0.396091962
114	0.3945607456
115	0.3928790518
116	0.3916536099
117	0.3899005632
118	0.3883816338
119	0.3853284114
120	0.3841775343
121	0.3816998893
122	0.3790043142
123	0.3776444722
124	0.3759489306
125	0.3738269257
126	0.3722496655
127	0.3704455534
128	0.3677484736
129	0.3652720456
130	0.3624742332
131	0.361167643
132	0.3592437614
133	0.3582378901
134	0.3565398655
135	0.3548716377
136	0.3532899363
137	0.3508416931
138	0.3495901024
139	0.3480545816
140	0.345926778
141	0.3443389371
142	0.3428425522
143	0.3413151517
144	0.3393925895
145	0.3381661819
146	0.3365532613
147	0.3347411662
148	0.3325427737
149	0.3314941287
150	0.3302285839
151	0.3292363728
152	0.3278065307
153	0.3261292442
154	0.3229483949
155	0.32067413
156	0.3188479073
157	0.3169611808
158	0.3152060215
159	0.3136693409
160	0.3123289156
161	0.3111682357
162	0.3084441052
163	0.3066526615
164	0.3053497606
165	0.3038672928
166	0.3017801381
167	0.3011507617
168	0.2998064658
169	0.2981714643
170	0.2952892032
171	0.2923751817
172	0.2910682166
173	0.2902442416
174	0.2889329049
175	0.2872031345
176	0.2850336735
177	0.2829565084
178	0.2815648373
179	0.2804087942
180	0.2791759474
181	0.2776285932
182	0.2770512693
183	0.275930535
184	0.2745494661
185	0.2735214496
186	0.2709268633
187	0.2696762598
188	0.2682771318
189	0.266106195
190	0.2651676641
191	0.2641429637
192	0.2627617556
193	0.2614079799
194	0.2598301025
195	0.2580791382
196	0.2567707704
197	0.2555895483
198	0.2533792257
199	0.2517591624
200	0.2508292686
201	0.2491362194
202	0.2475657095
203	0.2464673799
204	0.245633826
205	0.2445841791
206	0.2433530202
207	0.2425742076
208	0.2410468596
209	0.2402233112
210	0.2384639519
211	0.237359088
212	0.2362328515
213	0.2352956754
214	0.2340592585
215	0.2332325811
216	0.2312164855
217	0.2301553365
218	0.2292760438
219	0.2274661748
220	0.2259511914
221	0.2243702753
222	0.2228172963
223	0.2215273686
224	0.2198909741
225	0.2186784898
226	0.2176704093
227	0.2164847634
228	0.2151411115
229	0.2143143948
230	0.2131363689
231	0.2120100437
232	0.2112546185
233	0.2101852169
234	0.208906858
235	0.2075626791
236	0.2067883583
237	0.2054666031
238	0.2043508551
239	0.2029423491
240	0.2014057236
241	0.2004715318
242	0.1991831764
243	0.1978796278
244	0.197244989
245	0.1966716116
246	0.195937528
247	0.1950891904
248	0.1943678474
249	0.1935116363
250	0.1930323055
251	0.1921685529
252	0.1909577102
253	0.1896235012
254	0.1888350858
255	0.187540469
256	0.1870197107
257	0.1862309553
258	0.1857404799
259	0.1850432832
260	0.1842366476
261	0.1832820075
262	0.1825828665
263	0.1814342389
264	0.1806659571
265	0.1794406499
266	0.1784948737
267	0.1771711026
268	0.1765033377
269	0.1756401896
270	0.174228151
271	0.1729463905
272	0.1716780594
273	0.1709918893
274	0.1703220266
275	0.1700058182
276	0.1694461481
277	0.1689712438
278	0.1683939765
279	0.1676231168
280	0.166545741
281	0.16578734
282	0.1644687718
283	0.1633485012
284	0.1626604638
285	0.161654027
286	0.1609976325
287	0.1603298425
288	0.1593910317
289	0.1582104913
290	0.1573528758
291	0.1563920757
292	0.1554415002
293	0.1543994523
294	0.1536625331
295	0.1531420726
296	0.1524259185
297	0.1518767718
298	0.1510930971
299	0.1506739052
