match_id,date,season,year,team1,team2,toss_winner,toss_decision,venue,city,winner,win_outcome
335982,2008-04-18,2007/08,2008,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bengaluru,Kolkata Knight Riders,140 runs
335984,2008-04-19,2007/08,2008,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium,Delhi,Delhi Capitals,9 wickets
335983,2008-04-19,2007/08,2008,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Punjab Cricket Association Stadium,Chandigarh,Chennai Super Kings,33 runs
335985,2008-04-20,2007/08,2008,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Wankhede Stadium,Mumbai,Royal Challengers Bengaluru,5 wickets
335986,2008-04-20,2007/08,2008,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,Eden Gardens,Kolkata,Kolkata Knight Riders,5 wickets
335987,2008-04-21,2007/08,2008,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,6 wickets
335988,2008-04-22,2007/08,2008,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Rajiv Gandhi International Stadium,Hyderabad,Delhi Capitals,9 wickets
335989,2008-04-23,2007/08,2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,MA Chidambaram Stadium,Chennai,Chennai Super Kings,6 runs
335990,2008-04-24,2007/08,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajiv Gandhi International Stadium,Hyderabad,Rajasthan Royals,3 wickets
335991,2008-04-25,2007/08,2008,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Cricket Association Stadium,Chandigarh,Punjab Kings,66 runs
335993,2008-04-26,2007/08,2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,MA Chidambaram Stadium,Chennai,Chennai Super Kings,9 wickets
335992,2008-04-26,2007/08,2008,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,Bengaluru,Rajasthan Royals,7 wickets
335994,2008-04-27,2007/08,2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,10 wickets
335995,2008-04-27,2007/08,2008,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Cricket Association Stadium,Chandigarh,Punjab Kings,4 wickets
335996,2008-04-28,2007/08,2008,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,M Chinnaswamy Stadium,Bengaluru,Chennai Super Kings,13 runs
335997,2008-04-29,2007/08,2008,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Mumbai Indians,7 wickets
335998,2008-04-30,2007/08,2008,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Arun Jaitley Stadium,Delhi,Delhi Capitals,10 runs
336000,2008-05-01,2007/08,2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,45 runs
335999,2008-05-01,2007/08,2008,Deccan Chargers,Punjab Kings,Punjab Kings,field,Rajiv Gandhi International Stadium,Hyderabad,Punjab Kings,7 wickets
336001,2008-05-02,2007/08,2008,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai,Delhi Capitals,8 wickets
336003,2008-05-03,2007/08,2008,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Cricket Association Stadium,Chandigarh,Punjab Kings,9 runs
336034,2008-05-03,2007/08,2008,Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,3 runs
336004,2008-05-04,2007/08,2008,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,29 runs
336005,2008-05-04,2007/08,2008,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,8 wickets
336006,2008-05-05,2007/08,2008,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,Bengaluru,Punjab Kings,6 wickets
336007,2008-05-06,2007/08,2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,MA Chidambaram Stadium,Chennai,Deccan Chargers,7 wickets
336008,2008-05-07,2007/08,2008,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,7 wickets
336010,2008-05-08,2007/08,2008,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Kolkata Knight Riders,5 runs
336009,2008-05-08,2007/08,2008,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium,Delhi,Chennai Super Kings,4 wickets
336011,2008-05-09,2007/08,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,8 wickets
336013,2008-05-10,2007/08,2008,Chennai Super Kings,Punjab Kings,Punjab Kings,field,MA Chidambaram Stadium,Chennai,Chennai Super Kings,18 runs
336015,2008-05-11,2007/08,2008,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,3 wickets
336014,2008-05-11,2007/08,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Rajiv Gandhi International Stadium,Hyderabad,Kolkata Knight Riders,23 runs
336016,2008-05-12,2007/08,2008,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Punjab Cricket Association Stadium,Chandigarh,Punjab Kings,9 wickets
