match_id,date,season,year,team1,team2,toss_winner,toss_decision,venue,city,winner,win_outcome,team1_win_rate,team2_win_rate,team1_recent_form,team2_recent_form,h2h_team1_win_rate,team1_venue_win_rate,team2_venue_win_rate,toss_venue_advantage,team1_strength,team2_strength,toss_winner_is_team1,toss_decision_encoded,target
335982,2008-04-18,2007/08,2008,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bengaluru,Kolkata Knight Riders,140 runs,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1
335983,2008-04-19,2007/08,2008,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Punjab Cricket Association Stadium,Chandigarh,Chennai Super Kings,33 runs,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1
335984,2008-04-19,2007/08,2008,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium,Delhi,Delhi Capitals,9 wickets,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0
335985,2008-04-20,2007/08,2008,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Wankhede Stadium,Mumbai,Royal Challengers Bengaluru,5 wickets,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.125,1,1,0
335986,2008-04-20,2007/08,2008,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,Eden Gardens,Kolkata,Kolkata Knight Riders,5 wickets,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.875,1,1,0
335987,2008-04-21,2007/08,2008,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,6 wickets,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.125,0.125,1,1,0
335988,2008-04-22,2007/08,2008,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Rajiv Gandhi International Stadium,Hyderabad,Delhi Capitals,9 wickets,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.125,0.875,1,1,0
335989,2008-04-23,2007/08,2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,MA Chidambaram Stadium,Chennai,Chennai Super Kings,6 runs,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.875,0.125,0,0,1
335990,2008-04-24,2007/08,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajiv Gandhi International Stadium,Hyderabad,Rajasthan Royals,3 wickets,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0,0,0
335991,2008-04-25,2007/08,2008,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Cricket Association Stadium,Chandigarh,Punjab Kings,66 runs,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.125,0,0,1
335992,2008-04-26,2007/08,2008,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,Bengaluru,Rajasthan Royals,7 wickets,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,0.375,0.625,0,0,0
335993,2008-04-26,2007/08,2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,MA Chidambaram Stadium,Chennai,Chennai Super Kings,9 wickets,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.875,1.0,1,1,0
335994,2008-04-27,2007/08,2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,10 wickets,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.125,0.125,0,0,0
335995,2008-04-27,2007/08,2008,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Cricket Association Stadium,Chandigarh,Punjab Kings,4 wickets,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.5,0.5,0.5,0.875,0.375,1,1,0
335996,2008-04-28,2007/08,2008,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,M Chinnaswamy Stadium,Bengaluru,Chennai Super Kings,13 runs,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.5,0.0,0.5,0.875,0.25,1,1,1
335997,2008-04-29,2007/08,2008,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Mumbai Indians,7 wickets,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5,1.0,0.5,0.0,0.75,0.125,1,1,0
335998,2008-04-30,2007/08,2008,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Arun Jaitley Stadium,Delhi,Delhi Capitals,10 runs,0.6666666666666666,0.25,0.6666666666666666,0.25,0.5,1.0,0.5,0.0,0.75,0.3125,0,0,1
335999,2008-05-01,2007/08,2008,Deccan Chargers,Punjab Kings,Punjab Kings,field,Rajiv Gandhi International Stadium,Hyderabad,Punjab Kings,7 wickets,0.25,0.5,0.25,0.5,0.5,0.0,0.5,0.5,0.1875,0.5,0,0,0
336000,2008-05-01,2007/08,2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,45 runs,0.75,0.5,0.75,0.5,0.5,1.0,0.5,0.0,0.8125,0.5,1,1,1
336001,2008-05-02,2007/08,2008,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai,Delhi Capitals,8 wickets,1.0,0.75,1.0,0.75,0.5,1.0,0.5,0.0,1.0,0.6875,1,1,0
336003,2008-05-03,2007/08,2008,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Cricket Association Stadium,Chandigarh,Punjab Kings,9 runs,0.6,0.4,0.6,0.4,0.5,0.6666666666666666,0.5,0.3333333333333333,0.6166666666666666,0.42500000000000004,1,1,1
